Year;Catch;TanaTotal;ExplStart;ExplMin;ExplMax;ExplCorrSoft;FemProp;FemPropMin;FemPropMax;UnrepMin;UnrepMed;UnrepMax;AssessMethod;Count_G;Count_M;Count_S;Size_G;Size_M;Size_S;FemProp_G;FemProp_M;FemProp_S;CountUncMin;CountUncMed;CountUncMax
2006;1167;108596;0.45;0.8;1.25;0.2;0.5;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2007;1863;100542;0.45;0.8;1.25;0.2;0.8;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2008;1364;121860;0.45;0.8;1.25;0.2;0.62;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2009;696;63499;0.45;0.8;1.25;0.2;0.52;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2010;981;87058;0.45;0.8;1.25;0.2;0.56;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2011;415;79342;0.45;0.8;1.25;0.2;0.59;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2012;1037;108794;0.45;0.8;1.25;0.2;0.48;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2013;890;79883;0.45;0.8;1.25;0.2;0.56;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2014;1085;99236;0.45;0.8;1.25;0.2;0.52;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2015;850;78124;0.45;0.8;1.25;0.2;0.57;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2016;948;84744;0.45;0.8;1.25;0.2;0.56;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2017;1296;61742;0.4;0.8;1.25;0.2;0.58;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2018;756;49530;0.35;0.8;1.25;0.2;0.52;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2019;1040;40006;0.35;0.8;1.25;0.2;0.56;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2020;657;31591;0.35;0.8;1.25;0.2;0.57;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2021;0;0;0;0;0;0;0;0.9;1.1;0.2;0.25;0.3;2;236;93;3;1.4;2.7;3.8;0.35;0.74;0.58;0.6;1;1.4
2022;0;0;0;0;0;0;0;0.9;1.1;0.2;0.25;0.3;2;191;122;3;1.4;2.7;3.8;0.35;0.74;0.58;0.6;1;1.4
2023;0;0;0;0;0;0;0;0.9;1.1;0.2;0.25;0.3;2;148;90;3;1.4;2.7;3.8;0.29;0.69;0.67;1.00625;1.15;1.29375
2024;0;0;0;0;0;0;0;0.9;1.1;0.2;0.25;0.3;2;67;61;4;1.4;2.7;3.8;0.4;0.79;0.5;1.00625;1.15;1.29375
2025;0;0;0;0;0;0;0;0.9;1.1;0.2;0.25;0.3;2;81;58;4;1.4;2.7;3.8;0.320987654;0.596491228;1;1.00625;1.15;1.29375
