Year;Catch;TanaTotal;ExplStart;ExplMin;ExplMax;ExplCorrSoft;FemProp;FemPropMin;FemPropMax;UnrepMin;UnrepMed;UnrepMax
2006;1517;108596;0.5;0.8;1.25;0;0.58;0.9;1.1;0.2;0.25;0.3
2007;1466;100542;0.5;0.8;1.25;0;0.80;0.9;1.1;0.2;0.25;0.3
2008;1354;121860;0.5;0.8;1.25;0;0.68;0.9;1.1;0.2;0.25;0.3
2009;1037;63499;0.5;0.8;1.25;0;0.42;0.9;1.1;0.2;0.25;0.3
2010;1429;87058;0.5;0.8;1.25;0;0.50;0.9;1.1;0.2;0.25;0.3
2011;1113;79342;0.5;0.8;1.25;0;0.59;0.9;1.1;0.2;0.25;0.3
2012;3212;108794;0.5;0.8;1.25;0;0.42;0.9;1.1;0.2;0.25;0.3
2013;1344;79883;0.5;0.8;1.25;0;0.47;0.9;1.1;0.2;0.25;0.3
2014;1630;99236;0.5;0.8;1.25;0;0.44;0.9;1.1;0.2;0.25;0.3
2015;1276;78124;0.5;0.8;1.25;0;0.55;0.9;1.1;0.2;0.25;0.3
2016;1339;84744;0.5;0.8;1.25;0;0.56;0.9;1.1;0.2;0.25;0.3
2017;893;60610;0.45;0.8;1.25;0;0.57;0.9;1.1;0.2;0.25;0.3
2018;677;49530;0.36;0.8;1.25;0;0.45;0.9;1.1;0.2;0.25;0.3
2019;576;40006;0.37;0.8;1.25;0;0.63;0.9;1.1;0.2;0.25;0.3
2020;447;31591;0.36;0.8;1.25;0;0.44;0.9;1.1;0.2;0.25;0.3
